exp,date,w,fss,q
EG2,2018-11-21T08:00:00Z,51,0.735340871611721,5
EG2,2018-11-21T08:00:00Z,101,0.697166913243012,5
EG2,2018-11-21T08:00:00Z,1,0.218940378682286,10
EG2,2018-11-21T08:00:00Z,5,0.305818148524211,10
EG2,2018-11-21T08:00:00Z,11,0.366345792537366,10
EG2,2018-11-21T08:00:00Z,51,0.748373047016345,10
EG2,2018-11-21T08:00:00Z,101,0.739096327981351,10
EG2,2018-11-21T08:00:00Z,1,0,25
EG2,2018-11-21T08:00:00Z,5,0.0404115366206164,25
EG2,2018-11-21T08:00:00Z,11,0.0443702509282091,25
EG2,2018-11-21T08:00:00Z,51,0.125912569059599,25
EG2,2018-11-21T08:00:00Z,101,0.124413251435256,25
EG2,2018-11-21T08:00:00Z,1,0,50
EG2,2018-11-21T08:00:00Z,5,0,50
EG2,2018-11-21T08:00:00Z,11,0,50
EG2,2018-11-21T08:00:00Z,51,0,50
EG2,2018-11-21T08:00:00Z,101,0,50
EG2,2018-11-21T09:00:00Z,1,0.112837795521229,1
EG2,2018-11-21T09:00:00Z,5,0.149828013157779,1
EG2,2018-11-21T09:00:00Z,11,0.181128313336711,1
EG2,2018-11-21T09:00:00Z,51,0.459470176203116,1
EG2,2018-11-21T09:00:00Z,101,0.515504734409301,1
EG2,2018-11-21T09:00:00Z,1,0.184525437450984,5
EG2,2018-11-21T09:00:00Z,5,0.328850239895429,5
EG2,2018-11-21T09:00:00Z,11,0.403535395541979,5
EG2,2018-11-21T09:00:00Z,51,0.807650629524632,5
EG2,2018-11-21T09:00:00Z,101,0.784609387073401,5
EG2,2018-11-21T09:00:00Z,1,0.215779094661653,10
EG2,2018-11-21T09:00:00Z,5,0.347176438769647,10
EG2,2018-11-21T09:00:00Z,11,0.405558594495353,10
EG2,2018-11-21T09:00:00Z,51,0.802704647196831,10
EG2,2018-11-21T09:00:00Z,101,0.812829927184638,10
EG2,2018-11-21T09:00:00Z,1,0.0311284046692607,25
EG2,2018-11-21T09:00:00Z,5,0.186697079899292,25
EG2,2018-11-21T09:00:00Z,11,0.19845481697233,25
EG2,2018-11-21T09:00:00Z,51,0.704810529477556,25
EG2,2018-11-21T09:00:00Z,101,0.716016467220216,25
EG2,2018-11-21T09:00:00Z,1,0,50
EG2,2018-11-21T09:00:00Z,5,0,50
EG2,2018-11-21T09:00:00Z,11,0,50
EG2,2018-11-21T09:00:00Z,51,0,50
EG2,2018-11-21T09:00:00Z,101,0,50
EG2,2018-11-21T10:00:00Z,1,0.139774819321557,1
EG2,2018-11-21T10:00:00Z,5,0.181948599284422,1
EG2,2018-11-21T10:00:00Z,11,0.222033556713871,1
EG2,2018-11-21T10:00:00Z,51,0.512079717844586,1
EG2,2018-11-21T10:00:00Z,101,0.556109031573929,1
EG2,2018-11-21T10:00:00Z,1,0.25012871117213,5
EG2,2018-11-21T10:00:00Z,5,0.416266898408851,5
EG2,2018-11-21T10:00:00Z,11,0.518805767659041,5
EG2,2018-11-21T10:00:00Z,51,0.8595004935425,5
EG2,2018-11-21T10:00:00Z,101,0.898956903504543,5
EG2,2018-11-21T10:00:00Z,1,0.205498847102925,10
EG2,2018-11-21T10:00:00Z,5,0.344913935100833,10
EG2,2018-11-21T10:00:00Z,11,0.421322011667466,10
EG2,2018-11-21T10:00:00Z,51,0.771773879210164,10
EG2,2018-11-21T10:00:00Z,101,0.756168159991751,10
EG2,2018-11-21T10:00:00Z,1,0.0705760249091853,25
EG2,2018-11-21T10:00:00Z,5,0.197092871832725,25
EG2,2018-11-21T10:00:00Z,11,0.226852653554859,25
EG2,2018-11-21T10:00:00Z,51,0.786105604929094,25
EG2,2018-11-21T10:00:00Z,101,0.801805802108141,25
EG2,2018-11-21T10:00:00Z,1,0,50
EG2,2018-11-21T10:00:00Z,5,0,50
EG2,2018-11-21T10:00:00Z,11,0,50
EG2,2018-11-21T10:00:00Z,51,0,50
EG2,2018-11-21T10:00:00Z,101,0,50
EG2,2018-11-21T11:00:00Z,1,0.164896982218971,1
EG2,2018-11-21T11:00:00Z,5,0.211725866405382,1
EG2,2018-11-21T11:00:00Z,11,0.256438964750906,1
