exp,date,w,fss,q
E10,2018-11-22T12:00:00Z,51,0.832900060441676,10
E10,2018-11-22T12:00:00Z,101,0.856489705831163,10
E10,2018-11-22T12:00:00Z,1,0.338773406631163,25
E10,2018-11-22T12:00:00Z,5,0.417390525868521,25
E10,2018-11-22T12:00:00Z,11,0.508663354582423,25
E10,2018-11-22T12:00:00Z,51,0.754584432695048,25
E10,2018-11-22T12:00:00Z,101,0.792237861750167,25
E10,2018-11-22T12:00:00Z,1,0.214499252615845,50
E10,2018-11-22T12:00:00Z,5,0.319581907824851,50
E10,2018-11-22T12:00:00Z,11,0.401756815304114,50
E10,2018-11-22T12:00:00Z,51,0.593147158850497,50
E10,2018-11-22T12:00:00Z,101,0.611171997278967,50
E10,2018-11-22T13:00:00Z,1,0.621592272961079,1
E10,2018-11-22T13:00:00Z,5,0.698526005095648,1
E10,2018-11-22T13:00:00Z,11,0.75689841756658,1
E10,2018-11-22T13:00:00Z,51,0.900304974421557,1
E10,2018-11-22T13:00:00Z,101,0.91481408129128,1
E10,2018-11-22T13:00:00Z,1,0.634057370253689,5
E10,2018-11-22T13:00:00Z,5,0.714067139695748,5
E10,2018-11-22T13:00:00Z,11,0.77599113566558,5
E10,2018-11-22T13:00:00Z,51,0.896890802376912,5
E10,2018-11-22T13:00:00Z,101,0.912800614074811,5
E10,2018-11-22T13:00:00Z,1,0.595487829012468,10
E10,2018-11-22T13:00:00Z,5,0.674076952917058,10
E10,2018-11-22T13:00:00Z,11,0.739520794255356,10
E10,2018-11-22T13:00:00Z,51,0.872362788004101,10
E10,2018-11-22T13:00:00Z,101,0.893015235832396,10
E10,2018-11-22T13:00:00Z,1,0.367264224473889,25
E10,2018-11-22T13:00:00Z,5,0.447455072604124,25
E10,2018-11-22T13:00:00Z,11,0.523080349491623,25
E10,2018-11-22T13:00:00Z,51,0.740148789775526,25
E10,2018-11-22T13:00:00Z,101,0.772714467472715,25
E10,2018-11-22T13:00:00Z,1,0.200126662444585,50
E10,2018-11-22T13:00:00Z,5,0.277755289575234,50
E10,2018-11-22T13:00:00Z,11,0.336186337927831,50
E10,2018-11-22T13:00:00Z,51,0.460314720798909,50
E10,2018-11-22T13:00:00Z,101,0.467565960261447,50
E10,2018-11-22T14:00:00Z,1,0.607676371169992,1
E10,2018-11-22T14:00:00Z,5,0.68375593103637,1
E10,2018-11-22T14:00:00Z,11,0.74218960993687,1
E10,2018-11-22T14:00:00Z,51,0.891808615762535,1
E10,2018-11-22T14:00:00Z,101,0.90357332779201,1
E10,2018-11-22T14:00:00Z,1,0.639737479490585,5
E10,2018-11-22T14:00:00Z,5,0.721304675989226,5
E10,2018-11-22T14:00:00Z,11,0.779264162043715,5
E10,2018-11-22T14:00:00Z,51,0.891802823055299,5
E10,2018-11-22T14:00:00Z,101,0.90604975841145,5
E10,2018-11-22T14:00:00Z,1,0.598251615355378,10
E10,2018-11-22T14:00:00Z,5,0.674663533303922,10
E10,2018-11-22T14:00:00Z,11,0.731523586976617,10
E10,2018-11-22T14:00:00Z,51,0.855661799230703,10
E10,2018-11-22T14:00:00Z,101,0.871298507682779,10
E10,2018-11-22T14:00:00Z,1,0.434062850729517,25
E10,2018-11-22T14:00:00Z,5,0.5137531804138,25
E10,2018-11-22T14:00:00Z,11,0.578586088051786,25
E10,2018-11-22T14:00:00Z,51,0.766530658566704,25
E10,2018-11-22T14:00:00Z,101,0.79569123119613,25
E10,2018-11-22T14:00:00Z,1,0.214150176199512,50
E10,2018-11-22T14:00:00Z,5,0.293419243001633,50
E10,2018-11-22T14:00:00Z,11,0.355455309631306,50
E10,2018-11-22T14:00:00Z,51,0.468264737370331,50
E10,2018-11-22T14:00:00Z,101,0.47399212535868,50
E10,2018-11-22T15:00:00Z,1,0.604184696838568,1
E10,2018-11-22T15:00:00Z,5,0.683237051469862,1
E10,2018-11-22T15:00:00Z,11,0.737369000240579,1
E10,2018-11-22T15:00:00Z,51,0.8876285692751,1
E10,2018-11-22T15:00:00Z,101,0.908055320535323,1
E10,2018-11-22T15:00:00Z,1,0.611677619155525,5
E10,2018-11-22T15:00:00Z,5,0.690642828802828,5
E10,2018-11-22T15:00:00Z,11,0.742890056379842,5
E10,2018-11-22T15:00:00Z,51,0.862723735511513,5
E10,2018-11-22T15:00:00Z,101,0.87120819396402,5
E10,2018-11-22T15:00:00Z,1,0.568265007320644,10
E10,2018-11-22T15:00:00Z,5,0.643078562529998,10
E10,2018-11-22T15:00:00Z,11,0.696944823687896,10
E10,2018-11-22T15:00:00Z,51,0.825995337678812,10
E10,2018-11-22T15:00:00Z,101,0.841144800709768,10
E10,2018-11-22T15:00:00Z,1,0.433959784465764,25
E10,2018-11-22T15:00:00Z,5,0.507544151322187,25
E10,2018-11-22T15:00:00Z,11,0.568534079597955,25
E10,2018-11-22T15:00:00Z,51,0.728568696842029,25
E10,2018-11-22T15:00:00Z,101,0.752366579253426,25
E10,2018-11-22T15:00:00Z,1,0.244719592134013,50
E10,2018-11-22T15:00:00Z,5,0.320735763624912,50
E10,2018-11-22T15:00:00Z,11,0.377475941306518,50
E10,2018-11-22T15:00:00Z,51,0.453730672293043,50
E10,2018-11-22T15:00:00Z,101,0.451653318216651,50
E10,2018-11-22T16:00:00Z,1,0.591802732422526,1
E10,2018-11-22T16:00:00Z,5,0.672232531317146,1
E10,2018-11-22T16:00:00Z,11,0.720490848893194,1
E10,2018-11-22T16:00:00Z,51,0.869986912183845,1
E10,2018-11-22T16:00:00Z,101,0.899248331594636,1
E10,2018-11-22T16:00:00Z,1,0.601541695865452,5
E10,2018-11-22T16:00:00Z,5,0.681678186246279,5
E10,2018-11-22T16:00:00Z,11,0.728613758470316,5
E10,2018-11-22T16:00:00Z,51,0.848380000112595,5
E10,2018-11-22T16:00:00Z,101,0.864757739625492,5
E10,2018-11-22T16:00:00Z,1,0.545816044260028,10
E10,2018-11-22T16:00:00Z,5,0.617743256223372,10
E10,2018-11-22T16:00:00Z,11,0.666155900959813,10
E10,2018-11-22T16:00:00Z,51,0.795682372382754,10
E10,2018-11-22T16:00:00Z,101,0.811589506261653,10
E10,2018-11-22T16:00:00Z,1,0.416497975708502,25
E10,2018-11-22T16:00:00Z,5,0.485682956701533,25
E10,2018-11-22T16:00:00Z,11,0.542710893228974,25
E10,2018-11-22T16:00:00Z,51,0.678458814723804,25
E10,2018-11-22T16:00:00Z,101,0.696179666218306,25
E10,2018-11-22T16:00:00Z,1,0.235504813073651,50
E10,2018-11-22T16:00:00Z,5,0.298013768079221,50
E10,2018-11-22T16:00:00Z,11,0.346325688011175,50
E10,2018-11-22T16:00:00Z,51,0.385407018113847,50
E10,2018-11-22T16:00:00Z,101,0.368554961643104,50
E10,2018-11-22T17:00:00Z,1,0.58302193695872,1
E10,2018-11-22T17:00:00Z,5,0.668483879651019,1
E10,2018-11-22T17:00:00Z,11,0.715675268018785,1
E10,2018-11-22T17:00:00Z,51,0.862857205590259,1
E10,2018-11-22T17:00:00Z,101,0.892292858674115,1
E10,2018-11-22T17:00:00Z,1,0.58020866266203,5
E10,2018-11-22T17:00:00Z,5,0.664746915948821,5
E10,2018-11-22T17:00:00Z,11,0.710633608464864,5
E10,2018-11-22T17:00:00Z,51,0.83615058395034,5
E10,2018-11-22T17:00:00Z,101,0.863262165267554,5
E10,2018-11-22T17:00:00Z,1,0.530885873902634,10
E10,2018-11-22T17:00:00Z,5,0.606426714389387,10
E10,2018-11-22T17:00:00Z,11,0.650797484659767,10
E10,2018-11-22T17:00:00Z,51,0.776808149772301,10
E10,2018-11-22T17:00:00Z,101,0.799971504482359,10
E10,2018-11-22T17:00:00Z,1,0.375508192682025,25
E10,2018-11-22T17:00:00Z,5,0.444123234029842,25
E10,2018-11-22T17:00:00Z,11,0.498036578957777,25
E10,2018-11-22T17:00:00Z,51,0.596979307240765,25
E10,2018-11-22T17:00:00Z,101,0.599906038348325,25
E10,2018-11-22T17:00:00Z,1,0.211235009467705,50
E10,2018-11-22T17:00:00Z,5,0.260569097177134,50
E10,2018-11-22T17:00:00Z,11,0.304417463973717,50
E10,2018-11-22T17:00:00Z,51,0.341671728501621,50
E10,2018-11-22T17:00:00Z,101,0.318611327773889,50
E10,2018-11-22T18:00:00Z,1,0.560089389173978,1
E10,2018-11-22T18:00:00Z,5,0.647506750850137,1
E10,2018-11-22T18:00:00Z,11,0.694823292804873,1
E10,2018-11-22T18:00:00Z,51,0.845330520606989,1
E10,2018-11-22T18:00:00Z,101,0.87147248909598,1
E10,2018-11-22T18:00:00Z,1,0.538983844532896,5
E10,2018-11-22T18:00:00Z,5,0.628738702721172,5
E10,2018-11-22T18:00:00Z,11,0.67593510530762,5
E10,2018-11-22T18:00:00Z,51,0.802310179384303,5
E10,2018-11-22T18:00:00Z,101,0.828461366818627,5
E10,2018-11-22T18:00:00Z,1,0.510629129560471,10
E10,2018-11-22T18:00:00Z,5,0.59185252564858,10
E10,2018-11-22T18:00:00Z,11,0.639913402165267,10
E10,2018-11-22T18:00:00Z,51,0.762349117385302,10
E10,2018-11-22T18:00:00Z,101,0.791179478624146,10
